time,open,high,low,close,volume,EMA20,EMA50,RSI14,MACD,MACD_signal,MACD_hist,ADX,ATR,BB_upper,BB_middle,BB_lower,target
1782342000000,60874.0,61112.0,60830.01,61077.99,416.02483,61257.91072997136,61855.10223080203,37.420126103879625,-507.8706296359087,-506.46055455401637,-1.4100750818923302,41.67743077514837,721.9692857142852,63998.61877146111,61503.549,59008.47922853889,0
1782345600000,61078.0,61163.16,60726.77,60832.0,766.62145,61217.34780330742,61814.98057469215,37.3598730653986,-478.62285049824277,-500.8930137428616,22.270163244618857,43.04048749481503,733.8792857142861,63848.759275098506,61407.928,58967.096724901494,1
1782349200000,60832.0,60988.0,60720.23,60928.0,615.84376,61189.79086965909,61780.19702274344,33.40443849403597,-442.5954127066507,-489.23349353561946,46.63808082896878,44.363578157641236,687.2785714285716,63655.717731833116,61309.828,58963.93826816689,0
1782352800000,60928.0,60966.0,60700.01,60799.08,580.03112,61152.58031064394,61741.721845380955,34.40097543742918,-419.6091818134446,-475.3086311911845,55.69944937773988,46.03805980100258,678.5635714285714,63460.621719143535,61210.78200000001,58960.94228085648,1
1782356400000,60799.08,60910.63,60684.94,60883.65,479.47033,61126.96790010642,61708.07196909151,45.09912630784165,-390.0718307510906,-458.2612711031657,68.18944035207511,45.57168973212394,596.6121428571423,63269.21191219475,61122.065,58974.91808780526,1
1782360000000,60883.66,61410.0,60792.0,61357.63,536.03927,61148.935719143905,61694.329146774195,52.50308624914781,-324.6743980868414,-431.5438964999009,106.86949841305949,42.40405874812024,600.1835714285709,63051.76897444964,61049.946500000005,59048.12402555037,1
1782363600000,61357.63,61807.04,61280.0,61600.01,1223.4059,61191.895174463534,61690.63035670462,65.83088054223299,-250.40194345716736,-395.31550589135423,144.91356243418687,40.376272089749996,573.5214285714283,62866.18932838655,60995.86200000001,59125.534671613466,1
1782367200000,61600.02,61869.02,61600.01,61732.06,539.2877,61243.33944356225,61692.255048598556,73.54988863585174,-178.82378734039958,-352.0171621811633,173.19337484076374,40.0093499780196,517.3007142857138,62738.9718398213,60960.16549999999,59181.359160178676,1
1782370800000,61732.06,61962.4,61670.0,61911.04,937.71339,61306.929972746795,61700.834850614294,83.6165282873142,-106.42855064103787,-302.89943987313825,196.47088923210038,41.72659884333945,470.009285714285,62501.561663332235,60909.657999999996,59317.75433666776,0
1782374400000,61911.03,61920.0,61684.87,61712.35,337.43778,61345.54140391377,61701.28642510001,78.30382840512598,-64.34568940203462,-255.18868977891754,190.8430003768829,43.443847708659305,442.5792857142847,62294.930858599386,60864.36000000001,59433.78914140063,1
1782378000000,61712.36,61792.0,61614.32,61739.29,327.48572,61383.041270207694,61702.776761370595,76.18941183044575,-28.49244268313487,-209.84944035976102,181.35699767662615,44.25422824779499,421.6992857142847,62353.69797484397,60884.42400000001,59415.15002515606,0
1782381600000,61739.29,61751.07,61257.79,61269.94,686.26895,61372.2697206641,61685.80277072861,55.4657956864193,-37.518617559406266,-175.38327579969007,137.8646582402838,44.28275110368077,360.1849999999987,62368.33749281144,60892.266,59416.194507188564,1
1782385200000,61269.95,61422.52,61066.0,61282.01,605.95603,61363.67355679133,61669.9677601118,53.15044708106072,-43.19999539626588,-148.94661971900524,105.74662432273936,43.47015207927889,351.4449999999987,62397.3835438959,60943.866500000004,59490.34945610411,0
1782388800000,61282.0,61761.35,61080.0,61244.01,1124.99959,61352.27702757311,61653.263534225065,57.307102910044634,-50.19024873971648,-129.1953455231475,79.00509678343101,43.39462420531406,366.30285714285594,62377.13507808896,61013.567,59649.99892191104,0
1782392400000,61244.01,61369.18,58115.01,58290.17,6396.00513,61060.64778685186,61521.37751327507,23.60898639847325,-290.7289344220262,-161.50206330292326,-129.22687111910295,44.28359498326584,578.6014285714274,62649.708170007376,60957.8755,59266.04282999263,1
1782396000000,58291.7,60485.51,58291.7,59471.5,6002.27451,60909.30037858026,61440.9901598133,39.058403435685456,-381.63486839622783,-205.52862432158418,-176.10624407464366,45.38434108513796,704.2407142857129,62665.82049174542,60951.451,59237.08150825458,1
1782399600000,59471.49,59655.86,58874.85,59557.99,2456.01373,60780.60415204881,61367.147016291216,38.96504118345444,-441.60886375042173,-252.7446722073517,-188.86419154307004,45.54922439444506,740.9007142857133,62703.01940787188,60931.4355,59159.85159212812,0
1782403200000,59557.99,60067.0,59157.63,59312.64,1765.10919,60640.79804232987,61286.57811369156,38.247665250900525,-503.1365368769184,-302.8230451412651,-200.31349173565332,44.897140501734995,786.856428571428,62762.808399631685,60849.2675,58935.72660036832,1
1782406800000,59312.64,59740.9,59139.96,59676.01,1062.87634,60548.91346686988,61223.4185798213,40.85511947925282,-516.6214484503653,-345.5827258030851,-171.03872264728017,45.685766514408655,813.6599999999999,62756.3246291631,60777.56799999999,58798.811370836884,0
1782410400000,59676.0,59793.34,59364.0,59512.71,978.75101,60450.22742240608,61156.33196884792,35.33948704256426,-534.3259068232874,-383.33136200712556,-150.9945448161618,48.8685455806585,800.1842857142854,62766.40171176122,60709.504,58652.606288238785,0
1782414000000,59512.71,59516.0,59168.82,59320.0,917.28893,60342.58671551027,61084.318950461726,31.737917843417762,-557.4806145875555,-418.1612125232116,-139.31940206434388,51.048784074747466,787.3371428571425,62760.80488803954,60621.6045,58482.40411196046,1
1782417600000,59319.99,59741.95,59319.99,59456.62,539.40098,60258.20893308072,61020.48761907107,31.787854727999274,-558.3702504189641,-446.20302010236213,-112.167230316602,50.86839914170936,798.2621428571427,62751.16912907815,60552.8355,58354.50187092185,1
1782421200000,59456.62,60273.81,59452.01,60211.87,617.22274,60253.79570135875,60988.777124205546,37.54878497386169,-492.4562015641641,-455.45365639472254,-37.00254516944153,47.4873858799438,836.076428571428,62712.960788739336,60517.029,58321.09721126067,0
